contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
MSFT260116P00205000,2025-11-06 09:45:00,205,0.29,0.18,0.25,0.00,0.00%,2,252,45.04%,"Jan 16, 2026",2026-01-16
MSFT260116P00210000,6/13/2025 1:11 PM,210,0.27,0.21,0.27,0.00,0.00%,1,440,44.24%,"Jan 16, 2026",2026-01-16
MSFT260116P00215000,2025-12-06 10:12:00,215,0.30,0.24,0.31,0.00,0.00%,1,278,43.80%,"Jan 16, 2026",2026-01-16
MSFT260116P00220000,2025-11-06 13:18:00,220,0.35,0.27,0.33,0.00,0.00%,12,264,42.97%,"Jan 16, 2026",2026-01-16
MSFT260116P00225000,6/17/2025 9:42 AM,225,0.35,0.31,0.37,0.01,2.94%,1,615,42.41%,"Jan 16, 2026",2026-01-16
MSFT260116P00230000,2025-09-06 09:30:00,230,0.59,0.33,0.42,0.00,0.00%,1,1.171,41.94%,"Jan 16, 2026",2026-01-16
MSFT260116P00235000,2025-09-06 12:30:00,235,0.65,0.38,0.46,0.00,0.00%,1,645,41.31%,"Jan 16, 2026",2026-01-16
MSFT260116P00240000,6/16/2025 3:34 PM,240,0.47,0.42,0.50,0.00,0.00%,1,2.06,40.65%,"Jan 16, 2026",2026-01-16
MSFT260116P00245000,2025-03-06 12:14:00,245,0.76,0.49,0.55,0.00,0.00%,2,763,40.06%,"Jan 16, 2026",2026-01-16
MSFT260116P00250000,6/16/2025 3:45 PM,250,0.54,0.55,0.61,0.00,0.00%,20,1.262,39.55%,"Jan 16, 2026",2026-01-16
MSFT260116P00255000,2025-10-06 13:45:00,255,0.78,0.61,0.67,0.00,0.00%,1,703,38.98%,"Jan 16, 2026",2026-01-16
MSFT260116P00260000,6/16/2025 2:00 PM,260,0.66,0.68,0.74,0.00,0.00%,7,2.19,38.45%,"Jan 16, 2026",2026-01-16
MSFT260116P00265000,2025-12-06 12:05:00,265,0.80,0.76,0.82,0.00,0.00%,1,1.809,37.96%,"Jan 16, 2026",2026-01-16
MSFT260116P00270000,6/17/2025 10:48 AM,270,0.87,0.83,0.91,0.05,6.10%,20,2.913,37.50%,"Jan 16, 2026",2026-01-16
MSFT260116P00275000,2025-11-06 13:21:00,275,0.95,0.91,1.01,0.00,0.00%,1,1.105,37.04%,"Jan 16, 2026",2026-01-16
MSFT260116P00280000,6/16/2025 3:50 PM,280,1.00,1.01,1.11,0.00,0.00%,1,757,36.54%,"Jan 16, 2026",2026-01-16
MSFT260116P00285000,6/16/2025 3:45 PM,285,1.08,1.13,1.21,0.00,0.00%,112,651,36.00%,"Jan 16, 2026",2026-01-16
MSFT260116P00290000,6/17/2025 10:25 AM,290,1.27,1.25,1.33,0.06,4.96%,7,1.9,35.52%,"Jan 16, 2026",2026-01-16
MSFT260116P00295000,6/16/2025 12:11 PM,295,1.31,1.39,1.46,0.00,0.00%,2,460,35.05%,"Jan 16, 2026",2026-01-16
MSFT260116P00300000,6/16/2025 10:00 AM,300,1.56,1.53,1.60,0.11,7.59%,5,3.406,34.56%,"Jan 16, 2026",2026-01-16
MSFT260116P00305000,6/13/2025 10:39 AM,305,1.79,1.67,1.75,0.00,0.00%,1,452,34.08%,"Jan 16, 2026",2026-01-16
MSFT260116P00310000,6/16/2025 1:21 PM,310,1.79,1.84,1.93,0.00,0.00%,2,1.851,33.67%,"Jan 16, 2026",2026-01-16
MSFT260116P00315000,6/13/2025 2:33 PM,315,2.37,2.02,2.11,0.00,0.00%,201,1.095,33.20%,"Jan 16, 2026",2026-01-16
MSFT260116P00320000,6/17/2025 12:26 PM,320,2.25,2.22,2.29,0.11,5.14%,1,4.969,32.70%,"Jan 16, 2026",2026-01-16
MSFT260116P00325000,6/13/2025 11:05 AM,325,2.57,2.43,2.50,0.00,0.00%,1,1.994,32.24%,"Jan 16, 2026",2026-01-16
MSFT260116P00330000,6/17/2025 9:35 AM,330,2.64,2.66,2.73,0.03,1.15%,2,2.414,31.79%,"Jan 16, 2026",2026-01-16
MSFT260116P00335000,6/13/2025 1:55 PM,335,3.05,2.89,2.99,0.00,0.00%,10,938,31.38%,"Jan 16, 2026",2026-01-16
MSFT260116P00340000,6/17/2025 11:07 AM,340,3.15,3.15,3.25,0.16,5.35%,2,2.414,30.91%,"Jan 16, 2026",2026-01-16
MSFT260116P00345000,6/17/2025 9:55 AM,345,3.57,3.45,3.55,0.29,8.84%,3,2.792,30.49%,"Jan 16, 2026",2026-01-16
MSFT260116P00350000,6/17/2025 12:37 PM,350,3.74,3.75,3.85,0.20,5.65%,20,7.99,30.02%,"Jan 16, 2026",2026-01-16
MSFT260116P00355000,6/17/2025 10:13 AM,355,4.15,4.05,4.20,0.22,5.60%,315,2.627,29.61%,"Jan 16, 2026",2026-01-16
MSFT260116P00360000,6/16/2025 12:23 PM,360,4.19,4.45,4.55,0.00,0.00%,4,4.111,29.14%,"Jan 16, 2026",2026-01-16
MSFT260116P00365000,6/16/2025 3:29 PM,365,4.85,4.85,4.95,0.22,4.75%,3,2.172,28.72%,"Jan 16, 2026",2026-01-16
MSFT260116P00370000,6/17/2025 12:32 PM,370,5.25,5.25,5.40,0.25,5.00%,5,4.437,28.33%,"Jan 16, 2026",2026-01-16
MSFT260116P00375000,6/16/2025 12:22 PM,375,5.35,5.65,5.85,0.00,0.00%,3,3.382,27.88%,"Jan 16, 2026",2026-01-16
MSFT260116P00380000,6/16/2025 2:28 PM,380,5.95,6.20,6.30,0.00,0.00%,10,5.053,27.39%,"Jan 16, 2026",2026-01-16
MSFT260116P00385000,6/17/2025 12:08 PM,385,6.70,6.75,6.85,0.22,3.40%,4,3.863,26.99%,"Jan 16, 2026",2026-01-16
MSFT260116P00390000,6/16/2025 1:41 PM,390,7.40,7.30,7.45,0.50,7.25%,15,3.336,26.60%,"Jan 16, 2026",2026-01-16
MSFT260116P00395000,6/17/2025 11:15 AM,395,7.90,7.95,8.00,0.25,3.27%,5,2.017,26.09%,"Jan 16, 2026",2026-01-16
MSFT260116P00400000,6/17/2025 10:59 AM,400,8.63,8.60,8.75,0.26,3.11%,27,5.278,25.77%,"Jan 16, 2026",2026-01-16
MSFT260116P00405000,6/17/2025 10:27 AM,405,9.40,9.35,9.55,0.55,6.21%,3,1.012,25.43%,"Jan 16, 2026",2026-01-16
MSFT260116P00410000,6/17/2025 11:27 AM,410,10.10,10.20,10.35,0.25,2.54%,12,2.233,25.04%,"Jan 16, 2026",2026-01-16
MSFT260116P00415000,6/17/2025 12:56 PM,415,11.15,11.00,11.20,0.45,4.21%,39,1.486,24.63%,"Jan 16, 2026",2026-01-16
MSFT260116P00420000,6/17/2025 11:28 AM,420,11.92,12.00,12.20,0.32,2.76%,8,5.415,24.31%,"Jan 16, 2026",2026-01-16
MSFT260116P00425000,6/17/2025 11:30 AM,425,13.00,13.00,13.15,0.50,4.00%,6,4.779,23.87%,"Jan 16, 2026",2026-01-16
MSFT260116P00430000,6/17/2025 11:15 AM,430,14.00,14.05,14.20,0.45,3.32%,10,2.448,23.46%,"Jan 16, 2026",2026-01-16
MSFT260116P00435000,6/17/2025 11:38 AM,435,15.15,15.25,15.45,0.45,3.06%,17,1.003,23.16%,"Jan 16, 2026",2026-01-16
MSFT260116P00440000,6/17/2025 12:37 PM,440,16.35,16.45,16.65,0.45,2.83%,24,2.008,22.74%,"Jan 16, 2026",2026-01-16
MSFT260116P00445000,6/17/2025 11:36 AM,445,17.80,17.85,18.05,0.60,3.49%,6,1.747,22.41%,"Jan 16, 2026",2026-01-16
MSFT260116P00450000,6/17/2025 11:19 AM,450,19.20,19.30,19.50,0.45,2.40%,1.215,2.365,22.04%,"Jan 16, 2026",2026-01-16
MSFT260116P00455000,6/17/2025 12:55 PM,455,20.91,20.80,21.05,1.01,5.08%,3,1.066,21.68%,"Jan 16, 2026",2026-01-16
MSFT260116P00460000,6/16/2025 2:29 PM,460,22.50,22.50,22.70,0.74,3.40%,1,893,21.31%,"Jan 16, 2026",2026-01-16
MSFT260116P00465000,6/17/2025 11:56 AM,465,24.15,24.20,24.45,0.61,2.59%,1,465,20.93%,"Jan 16, 2026",2026-01-16
MSFT260116P00470000,6/17/2025 11:46 AM,470,25.95,26.10,26.40,0.60,2.37%,2,2.727,20.61%,"Jan 16, 2026",2026-01-16
MSFT260116P00475000,6/17/2025 12:59 PM,475,28.25,28.10,28.35,1.00,3.67%,12,2.338,20.20%,"Jan 16, 2026",2026-01-16
MSFT260116P00480000,6/17/2025 11:46 AM,480,29.85,30.25,30.50,0.24,0.81%,9,2.035,19.85%,"Jan 16, 2026",2026-01-16
MSFT260116P00485000,6/16/2025 12:33 PM,485,31.10,32.45,32.80,0.00,0.00%,92,669,19.50%,"Jan 16, 2026",2026-01-16
MSFT260116P00490000,6/17/2025 11:46 AM,490,34.55,34.80,35.10,0.41,1.20%,51,320,19.07%,"Jan 16, 2026",2026-01-16
MSFT260116P00495000,6/16/2025 3:06 PM,495,36.64,37.35,37.70,0.00,0.00%,324,370,18.74%,"Jan 16, 2026",2026-01-16
MSFT260116P00500000,6/16/2025 3:55 PM,500,40.71,40.05,40.40,1.76,4.52%,10,650,18.37%,"Jan 16, 2026",2026-01-16
MSFT260116P00505000,2025-12-06 15:07:00,505,41.35,42.80,43.20,0.00,0.00%,11,53,17.97%,"Jan 16, 2026",2026-01-16
MSFT260116P00510000,6/13/2025 9:45 AM,510,45.65,45.70,46.20,0.00,0.00%,50,61,17.60%,"Jan 16, 2026",2026-01-16
MSFT260116P00515000,2025-12-06 15:07:00,515,47.25,48.80,49.30,0.00,0.00%,1,68,17.19%,"Jan 16, 2026",2026-01-16
MSFT260116P00520000,2025-12-06 15:07:00,520,50.46,52.10,52.70,0.00,0.00%,5,189,16.89%,"Jan 16, 2026",2026-01-16
MSFT260116P00525000,2025-11-06 13:01:00,525,56.90,55.45,56.05,0.00,0.00%,23,47,16.42%,"Jan 16, 2026",2026-01-16
MSFT260116P00530000,2025-11-06 14:44:00,530,61.95,58.85,60.00,0.00,0.00%,48,108,16.34%,"Jan 16, 2026",2026-01-16
MSFT260116P00535000,2025-10-06 15:48:00,535,67.80,62.55,63.55,0.00,0.00%,3,211,15.76%,"Jan 16, 2026",2026-01-16
MSFT260116P00540000,6/13/2025 3:37 PM,540,68.95,66.25,67.35,0.00,0.00%,40,133,15.24%,"Jan 16, 2026",2026-01-16
MSFT260116P00545000,2025-10-06 15:05:00,545,75.90,70.25,71.35,0.00,0.00%,21,107,14.75%,"Jan 16, 2026",2026-01-16
MSFT260116P00550000,2025-10-06 14:55:00,550,81.15,74.40,75.45,0.00,0.00%,4,33,14.18%,"Jan 16, 2026",2026-01-16
MSFT260116P00560000,6/13/2025 3:18 PM,560,86.00,82.50,84.50,0.00,0.00%,2,1,13.76%,"Jan 16, 2026",2026-01-16
MSFT260116P00570000,2025-12-05 14:18:00,570,123.53,95.60,99.35,0.00,0.00%,1,0,21.81%,"Jan 16, 2026",2026-01-16
MSFT260116P00580000,1/30/2025 12:00 PM,580,163.96,181.00,184.35,0.00,0.00%,2,0,78.51%,"Jan 16, 2026",2026-01-16
MSFT260116P00600000,2025-01-05 09:37:00,600,168.68,138.25,141.90,0.00,0.00%,5,0,37.95%,"Jan 16, 2026",2026-01-16
MSFT260116P00610000,6/28/2024 3:36 PM,610,158.99,182.50,187.00,0.00,0.00%,6,0,64.30%,"Jan 16, 2026",2026-01-16
MSFT260116P00620000,5/15/2025 2:09 PM,620,166.28,143.40,147.05,0.00,0.00%,2,0,25.01%,"Jan 16, 2026",2026-01-16
MSFT260116P00640000,8/15/2024 2:26 PM,640,219.80,207.00,212.00,0.00,0.00%,2,0,65.14%,"Jan 16, 2026",2026-01-16
MSFT260116P00660000,7/17/2024 1:51 PM,660,217.71,239.00,244.00,0.00,0.00%,2,0,76.63%,"Jan 16, 2026",2026-01-16
MSFT260116P00665000,2025-07-04 11:14:00,665,309.45,224.85,228.70,0.00,0.00%,-,0,62.91%,"Jan 16, 2026",2026-01-16
MSFT260116P00670000,7/24/2024 3:05 PM,670,241.57,251.00,255.50,0.00,0.00%,2,0,79.27%,"Jan 16, 2026",2026-01-16
MSFT260116P00680000,11/13/2024 11:09 AM,680,257.05,230.50,235.00,0.00,0.00%,2,0,57.77%,"Jan 16, 2026",2026-01-16
MSFT260116P00695000,5/23/2025 1:30 PM,695,242.19,215.90,219.00,0.00,0.00%,10,0,25.02%,"Jan 16, 2026",2026-01-16
MSFT260116P00700000,1/31/2025 3:31 PM,700,283.70,0.00,0.00,0.00,0.00%,6,0,0.00%,"Jan 16, 2026",2026-01-16
MSFT260320C00175000,5/22/2025 3:15 PM,175,284.85,304.80,308.00,0.00,0.00%,1,20,72.97%,"Mar 20, 2026",2026-03-20
MSFT260320C00185000,4/23/2025 2:52 PM,185,196.73,268.60,272.75,0.00,0.00%,-,11,0.00%,"Mar 20, 2026",2026-03-20
MSFT260320C00190000,2025-11-06 09:44:00,190,287.18,290.20,293.45,0.00,0.00%,7,32,68.96%,"Mar 20, 2026",2026-03-20
MSFT260320C00195000,2025-11-03 14:56:00,195,196.55,198.50,203.00,0.00,0.00%,-,2,0.00%,"Mar 20, 2026",2026-03-20
MSFT260320C00200000,5/15/2025 12:14 PM,200,261.50,277.90,281.60,0.00,0.00%,1,6,58.15%,"Mar 20, 2026",2026-03-20
MSFT260320C00210000,5/16/2025 1:35 PM,210,248.00,271.10,274.35,0.00,0.00%,1,2,64.82%,"Mar 20, 2026",2026-03-20
MSFT260320C00220000,2025-09-04 14:45:00,220,172.49,223.50,228.00,0.00,0.00%,-,1,0.00%,"Mar 20, 2026",2026-03-20
MSFT260320C00230000,4/23/2025 11:06 AM,230,158.71,225.35,229.85,0.00,0.00%,-,1,0.00%,"Mar 20, 2026",2026-03-20
MSFT260320C00240000,4/25/2025 3:05 PM,240,160.10,216.00,220.35,0.00,0.00%,1,36,0.00%,"Mar 20, 2026",2026-03-20
MSFT260320C00250000,2025-11-06 09:41:00,250,230.00,233.00,236.45,0.00,0.00%,4,53,57.07%,"Mar 20, 2026",2026-03-20
MSFT260320C00260000,2025-09-06 11:30:00,260,218.74,223.55,227.15,0.00,0.00%,1,27,55.38%,"Mar 20, 2026",2026-03-20
MSFT260320C00270000,5/13/2025 1:07 PM,270,188.89,211.50,215.30,0.00,0.00%,11,45,52.47%,"Mar 20, 2026",2026-03-20
MSFT260320C00280000,2025-10-06 09:30:00,280,202.00,204.75,208.45,0.00,0.00%,13,37,51.92%,"Mar 20, 2026",2026-03-20
MSFT260320C00290000,2025-06-06 10:05:00,290,193.20,195.45,198.80,0.00,0.00%,1,32,50.01%,"Mar 20, 2026",2026-03-20
MSFT260320C00300000,6/13/2025 2:27 PM,300,184.90,186.15,189.55,0.00,0.00%,2,354,50.75%,"Mar 20, 2026",2026-03-20
MSFT260320C00310000,5/19/2025 2:00 PM,310,161.85,176.75,180.50,0.00,0.00%,1,46,49.26%,"Mar 20, 2026",2026-03-20
MSFT260320C00320000,6/13/2025 1:10 PM,320,168.53,167.65,171.25,0.00,0.00%,1,62,47.48%,"Mar 20, 2026",2026-03-20
MSFT260320C00330000,2025-12-06 15:27:00,330,162.65,158.75,162.40,0.00,0.00%,1,53,46.13%,"Mar 20, 2026",2026-03-20
MSFT260320C00340000,2025-12-06 10:09:00,340,150.10,149.60,152.95,0.00,0.00%,2,85,44.09%,"Mar 20, 2026",2026-03-20
MSFT260320C00350000,6/17/2025 11:46 AM,350,142.40,140.75,143.15,-2.31,-1.60%,6,227,41.69%,"Mar 20, 2026",2026-03-20
MSFT260320C00360000,6/16/2025 1:58 PM,360,135.10,132.05,135.25,0.00,0.00%,6,236,41.18%,"Mar 20, 2026",2026-03-20
MSFT260320C00370000,6/13/2025 2:32 PM,370,122.30,124.65,125.70,0.00,0.00%,4,327,39.00%,"Mar 20, 2026",2026-03-20
MSFT260320C00380000,6/13/2025 3:52 PM,380,114.00,114.95,117.45,0.00,0.00%,3,615,37.96%,"Mar 20, 2026",2026-03-20
MSFT260320C00390000,2025-12-06 14:28:00,390,110.03,107.85,108.85,0.00,0.00%,24,528,36.53%,"Mar 20, 2026",2026-03-20
MSFT260320C00400000,6/17/2025 12:54 PM,400,99.60,99.60,100.55,-1.75,-1.73%,3,1.016,35.26%,"Mar 20, 2026",2026-03-20
MSFT260320C00410000,6/16/2025 1:40 PM,410,94.11,91.85,92.75,0.00,0.00%,2,570,34.28%,"Mar 20, 2026",2026-03-20
MSFT260320C00420000,6/16/2025 3:57 PM,420,85.10,84.20,85.35,0.00,0.00%,10,990,33.45%,"Mar 20, 2026",2026-03-20
MSFT260320C00430000,6/13/2025 3:19 PM,430,75.26,76.85,77.75,0.06,0.08%,1,532,32.35%,"Mar 20, 2026",2026-03-20
MSFT260320C00440000,6/17/2025 9:53 AM,440,69.14,69.75,70.60,-1.86,-2.62%,3,1.688,31.42%,"Mar 20, 2026",2026-03-20
MSFT260320C00450000,6/17/2025 10:55 AM,450,61.75,63.00,63.60,-2.25,-3.52%,6,840,30.43%,"Mar 20, 2026",2026-03-20
MSFT260320C00460000,6/17/2025 12:39 PM,460,57.69,56.50,57.60,0.50,0.87%,3,579,29.92%,"Mar 20, 2026",2026-03-20
MSFT260320C00470000,6/17/2025 11:26 AM,470,50.20,49.75,51.10,-1.15,-2.24%,11,725,28.93%,"Mar 20, 2026",2026-03-20
MSFT260320C00480000,6/17/2025 11:33 AM,480,44.96,44.85,45.15,-0.24,-0.53%,6,1.29,28.09%,"Mar 20, 2026",2026-03-20
MSFT260320C00490000,6/17/2025 12:28 PM,490,39.75,39.55,39.90,-0.70,-1.73%,12,604,27.48%,"Mar 20, 2026",2026-03-20
MSFT260320C00500000,6/17/2025 12:57 PM,500,34.75,34.60,34.95,-0.28,-0.80%,19,2.893,26.86%,"Mar 20, 2026",2026-03-20
MSFT260320C00510000,6/17/2025 11:42 AM,510,30.30,30.10,30.45,-0.10,-0.33%,10,1.093,26.31%,"Mar 20, 2026",2026-03-20
MSFT260320C00520000,6/17/2025 12:22 PM,520,26.25,26.15,26.40,-0.10,-0.38%,11,774,25.82%,"Mar 20, 2026",2026-03-20
MSFT260320C00530000,6/16/2025 11:43 AM,530,22.60,22.40,22.75,-0.83,-3.54%,2,558,25.37%,"Mar 20, 2026",2026-03-20
MSFT260320C00540000,6/16/2025 1:28 PM,540,19.15,19.10,19.30,-0.75,-3.77%,2,640,24.83%,"Mar 20, 2026",2026-03-20
MSFT260320C00550000,6/17/2025 11:36 AM,550,16.15,16.25,16.45,-0.37,-2.24%,3,720,24.48%,"Mar 20, 2026",2026-03-20
MSFT260320C00560000,6/16/2025 11:46 AM,560,13.80,13.80,13.95,-0.65,-4.50%,2,637,24.16%,"Mar 20, 2026",2026-03-20
MSFT260320C00570000,6/16/2025 3:51 PM,570,11.60,11.55,11.80,-0.03,-0.26%,1,123,23.90%,"Mar 20, 2026",2026-03-20
MSFT260320C00580000,6/16/2025 1:55 PM,580,9.80,9.65,9.90,0.00,0.00%,4,163,23.63%,"Mar 20, 2026",2026-03-20
MSFT260320C00590000,6/17/2025 12:02 PM,590,8.15,8.10,8.30,-0.26,-3.09%,2,64,23.42%,"Mar 20, 2026",2026-03-20
MSFT260320C00600000,6/17/2025 12:04 PM,600,6.85,6.75,6.95,-0.02,-0.29%,27,805,23.24%,"Mar 20, 2026",2026-03-20
MSFT260320C00610000,6/16/2025 10:19 AM,610,5.90,5.60,5.80,0.00,0.00%,16,201,23.09%,"Mar 20, 2026",2026-03-20
MSFT260320C00620000,6/17/2025 10:01 AM,620,4.47,4.70,4.85,-0.30,-6.29%,23,184,22.98%,"Mar 20, 2026",2026-03-20
MSFT260320C00630000,6/16/2025 10:31 AM,630,4.00,3.90,4.05,0.00,0.00%,3,33,22.90%,"Mar 20, 2026",2026-03-20
MSFT260320C00640000,6/17/2025 11:52 AM,640,3.34,3.30,3.40,0.02,0.60%,60,45,22.86%,"Mar 20, 2026",2026-03-20
MSFT260320C00650000,6/16/2025 2:42 PM,650,2.76,2.72,2.84,0.00,0.00%,178,315,22.82%,"Mar 20, 2026",2026-03-20
MSFT260320C00660000,6/16/2025 3:29 PM,660,2.25,2.29,2.40,-0.04,-1.75%,1,294,22.84%,"Mar 20, 2026",2026-03-20
MSFT260320C00680000,6/13/2025 2:13 PM,680,1.44,1.60,1.69,0.00,0.00%,3,18,22.84%,"Mar 20, 2026",2026-03-20
Puts,,,,,,,,,,,"Mar 20, 2026",2026-03-20
In The Money,,,,,,,,,,,"Mar 20, 2026",2026-03-20
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,"Mar 20, 2026",2026-03-20
MSFT260320P00175000,5/21/2025 1:05 PM,175,0.26,0.17,0.26,0.00,0.00%,2,27,46.73%,"Mar 20, 2026",2026-03-20
MSFT260320P00180000,2025-06-05 09:42:00,180,0.50,0.04,0.55,0.00,0.00%,1,54,50.00%,"Mar 20, 2026",2026-03-20
MSFT260320P00185000,5/13/2025 10:12 AM,185,0.32,0.03,0.35,0.00,0.00%,1,11,45.92%,"Mar 20, 2026",2026-03-20
MSFT260320P00190000,2025-09-05 15:45:00,190,0.56,0.19,0.47,0.00,0.00%,4,18,46.44%,"Mar 20, 2026",2026-03-20
MSFT260320P00195000,2025-10-06 10:39:00,195,0.41,0.27,0.38,0.00,0.00%,1,116,43.99%,"Mar 20, 2026",2026-03-20
MSFT260320P00200000,2025-10-06 10:40:00,200,0.45,0.31,0.42,0.00,0.00%,3,22,43.36%,"Mar 20, 2026",2026-03-20
MSFT260320P00210000,5/28/2025 1:37 PM,210,0.67,0.41,0.50,0.00,0.00%,1,219,42.07%,"Mar 20, 2026",2026-03-20
MSFT260320P00220000,2025-06-06 10:49:00,220,0.65,0.52,0.62,0.00,0.00%,3,24,41.07%,"Mar 20, 2026",2026-03-20
MSFT260320P00230000,2025-05-06 14:38:00,230,0.78,0.65,0.76,0.00,0.00%,1,116,40.08%,"Mar 20, 2026",2026-03-20
MSFT260320P00240000,2025-11-06 13:16:00,240,0.89,0.83,0.91,0.00,0.00%,11,54,39.00%,"Mar 20, 2026",2026-03-20
MSFT260320P00250000,2025-02-06 15:22:00,250,1.45,1.02,1.10,0.00,0.00%,4,1.411,38.05%,"Mar 20, 2026",2026-03-20
MSFT260320P00260000,2025-04-06 10:23:00,260,1.54,1.23,1.33,0.00,0.00%,14,566,37.16%,"Mar 20, 2026",2026-03-20
MSFT260320P00270000,2025-12-06 10:41:00,270,1.51,1.49,1.59,0.00,0.00%,5,289,36.24%,"Mar 20, 2026",2026-03-20
MSFT260320P00280000,6/16/2025 1:49 PM,280,1.74,1.78,1.90,0.00,0.00%,3,456,35.38%,"Mar 20, 2026",2026-03-20
MSFT260320P00290000,6/16/2025 12:51 PM,290,2.10,2.13,2.25,0.00,0.00%,2,614,34.49%,"Mar 20, 2026",2026-03-20
MSFT260320P00300000,2025-11-06 11:54:00,300,2.38,2.54,2.66,0.00,0.00%,1,1.003,33.64%,"Mar 20, 2026",2026-03-20
MSFT260320P00310000,6/16/2025 9:41 AM,310,2.96,3.00,3.15,0.00,0.00%,10,450,32.84%,"Mar 20, 2026",2026-03-20
MSFT260320P00320000,6/16/2025 12:51 PM,320,3.45,3.50,3.65,0.00,0.00%,1,1.456,31.92%,"Mar 20, 2026",2026-03-20
MSFT260320P00330000,2025-11-06 15:28:00,330,4.20,4.15,4.30,0.00,0.00%,54,1.347,31.16%,"Mar 20, 2026",2026-03-20
MSFT260320P00340000,6/16/2025 9:30 AM,340,4.99,4.80,4.95,0.00,0.00%,1,1.724,30.24%,"Mar 20, 2026",2026-03-20
MSFT260320P00350000,6/17/2025 11:34 AM,350,5.60,5.60,5.75,0.23,4.28%,2,4.788,29.43%,"Mar 20, 2026",2026-03-20
MSFT260320P00360000,6/17/2025 11:32 AM,360,6.50,6.50,6.65,0.30,4.84%,12,718,28.62%,"Mar 20, 2026",2026-03-20
MSFT260320P00370000,6/16/2025 12:29 PM,370,7.60,7.50,7.75,0.35,4.83%,3,966,27.90%,"Mar 20, 2026",2026-03-20
MSFT260320P00380000,6/17/2025 11:02 AM,380,8.85,8.70,8.90,-0.68,-7.14%,25,802,27.07%,"Mar 20, 2026",2026-03-20
MSFT260320P00390000,6/17/2025 11:45 AM,390,10.05,10.10,10.25,0.34,3.50%,4,1.419,26.29%,"Mar 20, 2026",2026-03-20
MSFT260320P00400000,6/17/2025 11:32 AM,400,11.70,11.65,11.90,0.44,3.91%,4,1.767,25.63%,"Mar 20, 2026",2026-03-20
MSFT260320P00410000,6/17/2025 11:36 AM,410,13.50,13.50,13.70,0.44,3.37%,4,899,24.91%,"Mar 20, 2026",2026-03-20
MSFT260320P00420000,6/17/2025 11:35 AM,420,15.60,15.50,15.75,0.65,4.35%,5,2.181,24.20%,"Mar 20, 2026",2026-03-20
MSFT260320P00430000,6/17/2025 11:42 AM,430,17.80,17.95,18.15,0.30,1.71%,5,1.744,23.55%,"Mar 20, 2026",2026-03-20
MSFT260320P00440000,6/17/2025 11:36 AM,440,20.60,20.55,20.80,0.50,2.49%,6,486,22.88%,"Mar 20, 2026",2026-03-20
MSFT260320P00450000,6/17/2025 11:35 AM,450,23.60,23.60,23.85,0.69,3.01%,2,325,22.25%,"Mar 20, 2026",2026-03-20
MSFT260320P00460000,6/17/2025 11:53 AM,460,26.97,26.90,27.30,0.89,3.41%,94,651,21.64%,"Mar 20, 2026",2026-03-20
MSFT260320P00470000,6/16/2025 3:42 PM,470,30.02,30.65,31.05,0.00,0.00%,66,563,20.98%,"Mar 20, 2026",2026-03-20
MSFT260320P00480000,6/17/2025 11:15 AM,480,34.88,34.80,35.20,0.88,2.59%,7,507,20.30%,"Mar 20, 2026",2026-03-20
MSFT260320P00490000,6/16/2025 1:56 PM,490,38.53,39.45,39.90,0.00,0.00%,30,115,19.69%,"Mar 20, 2026",2026-03-20
MSFT260320P00500000,6/16/2025 3:37 PM,500,43.73,44.45,44.95,0.00,0.00%,17,144,18.99%,"Mar 20, 2026",2026-03-20
MSFT260320P00510000,6/13/2025 9:45 AM,510,49.75,50.05,50.55,0.00,0.00%,51,72,18.33%,"Mar 20, 2026",2026-03-20
MSFT260320P00520000,6/13/2025 10:23 AM,520,57.35,56.05,56.45,0.00,0.00%,3,97,17.51%,"Mar 20, 2026",2026-03-20
MSFT260320P00530000,6/13/2025 10:23 AM,530,63.93,62.05,63.50,0.00,0.00%,1,119,17.11%,"Mar 20, 2026",2026-03-20
MSFT260320P00540000,5/29/2025 3:00 PM,540,84.90,69.10,70.70,0.00,0.00%,1,53,16.46%,"Mar 20, 2026",2026-03-20
MSFT260320P00550000,2025-10-06 15:05:00,550,82.10,77.05,78.15,0.00,0.00%,13,88,15.55%,"Mar 20, 2026",2026-03-20
MSFT260320P00560000,2025-10-06 14:07:00,560,92.30,84.40,86.35,0.00,0.00%,23,68,14.83%,"Mar 20, 2026",2026-03-20
MSFT260320P00570000,3/19/2025 9:44 AM,570,185.00,200.00,204.50,0.00,0.00%,-,0,85.29%,"Mar 20, 2026",2026-03-20
MSFT260320P00590000,4/30/2025 3:59 PM,590,198.00,128.00,132.10,0.00,0.00%,-,0,32.22%,"Mar 20, 2026",2026-03-20
MSFT260320P00680000,6/13/2025 10:00 AM,680,201.31,200.95,204.60,0.00,0.00%,-,-,22.87%,"Mar 20, 2026",2026-03-20
MSFT260618C00175000,2025-12-06 12:01:00,175,309.40,305.10,309.90,0.00,0.00%,-,1,66.43%,"Jun 18, 2026",2026-06-18
MSFT260618C00185000,2025-09-05 15:39:00,185,260.36,289.15,293.50,0.00,0.00%,120,780,48.33%,"Jun 18, 2026",2026-06-18
